CODIGO;PRODUCTO;STOCK;PRECIO ULTIMA COMPRA;VALOR MINORISTA;VALOR MAYORISTA;PROVEEDOR;VENDIDOS;INGRESOS
1699541342213;Babucha Slide (M, Azul);1; $34.001,00; $ 74.802,20 ; $ 68.002,00 ;SALPA SRL;;
1699585081789;Babucha Slide (M, Negro);0; $34.001,00; $ 74.802,20 ; $ 68.002,00 ;SALPA SRL;1;
1699556974478;Babucha Slide (L, Azul);1; $34.001,00; $ 74.802,20 ; $ 68.002,00 ;SALPA SRL;;
1699588022246;Babucha Slide (L, Negro);1; $34.001,00; $ 74.802,20 ; $ 68.002,00 ;SALPA SRL;;
1699504626022;Babucha Snatch (S, Negro);0; $37.873,00; $ 83.320,60 ; $ 75.746,00 ;SALPA SRL;1;
1699536029136;Babucha Snatch (M, Negro);1; $37.873,00; $ 83.320,60 ; $ 75.746,00 ;SALPA SRL;;
1699560133359;Babucha Snatch (L, Negro);1; $37.873,00; $ 83.320,60 ; $ 75.746,00 ;SALPA SRL;1;1
1699587199826;Babucha Snatch (XL, Verde Militar);1; $37.873,00; $ 83.320,60 ; $ 75.746,00 ;SALPA SRL;;
1699548801577;Babucha Squat (S, Azul);1; $33.396,00; $ 73.471,20 ; $ 66.792,00 ;SALPA SRL;1;
1699511125488;Babucha Squat (M, Azul);1; $33.396,00; $ 73.471,20 ; $ 66.792,00 ;SALPA SRL;;
1699594156836;Babucha Squat (M, Negro);1; $33.396,00; $ 73.471,20 ; $ 66.792,00 ;SALPA SRL;;
1699558894330;Babucha Squat (L, Azul);1; $33.396,00; $ 73.471,20 ; $ 66.792,00 ;SALPA SRL;;
1699505178704;Bermuda Squat (S, Verde);1; $28.253,50; $ 62.157,70 ; $ 56.507,00 ;SALPA SRL;1;1
1699500219419;Bermuda Squat (S, Gris Perla);1; $28.253,50; $ 62.157,70 ; $ 56.507,00 ;SALPA SRL;;
1699569207280;Bermuda Squat (M, Verde);1; $28.253,50; $ 62.157,70 ; $ 56.507,00 ;SALPA SRL;;
1699500219457;Bermuda Squat (L, Gris Perla);1; $28.253,50; $ 62.157,70 ; $ 56.507,00 ;SALPA SRL;;
1699529221516;Bermuda Squat (XL, Verde);1; $28.253,50; $ 62.157,70 ; $ 56.507,00 ;SALPA SRL;;
1699598566921;Biker Gap (S/M, Negro);2; $25.047,00; $ 55.103,40 ; $ 50.094,00 ;SALPA SRL;;1
1699538515729;Biker Gap (S/M, Rosa);0; $25.047,00; $ 55.103,40 ; $ 50.094,00 ;SALPA SRL;1;
1699559258148;Biker Gap (L/XL, Rosa);1; $25.047,00; $ 55.103,40 ; $ 50.094,00 ;SALPA SRL;;
1699595089010;Biker Gap (L/XL, Verde);1; $25.047,00; $ 55.103,40 ; $ 50.094,00 ;SALPA SRL;;
1699539629838;Biker Jump (S, Azul Marino);1; $17.968,50; $ 39.530,70 ; $ 35.937,00 ;SALPA SRL;;
1699516363465;Biker Jump (S, Negro);3; $17.968,50; $ 39.530,70 ; $ 35.937,00 ;SALPA SRL;;
1699551161026;Biker Jump (M, Azul Marino);1; $17.968,50; $ 39.530,70 ; $ 35.937,00 ;SALPA SRL;;
1699565946763;Biker Jump (M, Bordo);2; $17.968,50; $ 39.530,70 ; $ 35.937,00 ;SALPA SRL;;2
